Волна,Порядок,Тип,Задача,Целевой URL,Запрос узла,Частотность узла,Формулировок в узле,Кластер,Товар,Магнит,Основание,Состояние
В-3,13,Н,Какие работы считаются скрытыми: перечень по видам и когда акт обязателен,/articles/akty-skrytyh-rabot-kakie.html,акты скрытых работ какие,2587,2,Исполнительная документация,P4,Бланк акта скрытых работ,"узел «какие» + «нужен ли», ни одна статья не отвечает",в очереди
В-3,14,Н,Акт скрытых работ на монтаж инженерных систем,/articles/akt-skrytyh-rabot-montazh.html,акт скрытых работ монтаж,1109,1,Исполнительная документация,P4,Бланк акта скрытых работ,"отдельный вид работ, в текстах не встречается",в очереди
В-3,15,Д,Достроить ispolnitelnaya-dokumentaciya-sostav под формулировки ОКС,/articles/ispolnitelnaya-dokumentaciya-sostav.html,исполнительная документация объекта капитального строительства,5168,3,Исполнительная документация,P4,Исполнительная документация,"три формулировки одного узла, страница есть",в очереди
В-3,16,Д,Достроить akt-osvidetelstvovaniya-skrytyh-rabot под запрос «образец»,/articles/akt-osvidetelstvovaniya-skrytyh-rabot.html,акт освидетельствования скрытых работ образец,769,1,Исполнительная документация,P4,Бланк акта скрытых работ,"страница есть, запрос с «образец» не покрыт",в очереди
В-4,17,Н,"Гарантийное удержание в учёте: счёт, проводки, НДС, отражение в 1С",/articles/garantiynoe-uderzhanie-uchet.html,гарантийное удержание в 1с,1838,4,Удержания,P5,Гарантийное удержание,"подкластера нет на сайте вовсе, требует нормативной сверки Р-026",в очереди
В-4,18,Д,Достроить garantiynoe-uderzhanie-chto-eto под морфологию узла,/articles/garantiynoe-uderzhanie-chto-eto.html,гарантийное удержание по договору,2784,5,Удержания,P5,Гарантийное удержание,"пять формулировок одного узла, одна страница, не пять",в очереди
В-5,19,Д,Достроить dogovor-subpodryada-obrazec под морфологию узла,/articles/dogovor-subpodryada-obrazec.html,договор субподряда на работы,4759,10,Договоры,P7,Договор субподряда,"десять формулировок одного узла — одна страница, иначе конкуренция страниц между собой",в очереди
В-6,20,Решение,Сметы: 33 827 частотности без товара — решение владельца (раздел 5.1),—,—,33827,50,Сметы,нет,—,"второй по величине кластер спроса, товара нет ни одного",в очереди
В-6,21,Д,Достроить stroitelnyy-musor-v-smete под запрос о расценке,/articles/stroitelnyy-musor-v-smete.html,строительный мусор расценка в смете,889,1,Сметы,P1,—,"страница есть, запрос с «расценка» не покрыт — не требует решения о товаре",в очереди
В-6,22,Н,Строительная смета: расценки и цена работ — только после решения 5.1,/articles/stroitelnaya-smeta-rascenki.html,строительная смета расценки,2692,3,Сметы,нет,—,держится до ответа по 5.1: без товара трафик некуда вести,в очереди
В-6,23,Н,Смета строительных работ: образец и что в нём проверить — после решения 5.1,/articles/smeta-stroitelnyh-rabot-obrazec.html,смета строительная образец,1603,2,Сметы,нет,—,держится до ответа по 5.1,в очереди
В-7,24,Шаблон,Второй коммерческий блок после первой трети статьи (Т-3),—,—,0,0,—,—,—,"первый CTA стоит на 73–79% длины, врезка магнита на 89–93%",сделано 11.08: первый выход 73–79% → 28–35% длины
В-7,25,Шаблон,Оглавление из h2 в статьях длиннее 8 000 знаков (Т-4),—,—,0,0,—,—,—,0 из 33 статей с оглавлением при 11 разделах в самой длинной,сделано 11.08: оглавление в 23 разборах из 32
В-7,26,Шаблон,Видимая дата обновления на странице статьи (Т-6),—,—,0,0,—,—,—,"даты есть только в JSON-LD, читатель их не видит",сделано 11.08: дата видна во всех 32
В-7,27,Шаблон,Разделить витрину на «Бесплатно» и «Комплекты» (Т-8),/,—,0,0,—,—,—,"первые десять карточек из 22 — бесплатные, готовый купить проходит мимо","сделано 11.08: комплекты впереди, бесплатное отдельной группой"
В-7,28,Товар,Открытый фрагмент документа для каждого комплекта (Т-5),—,—,0,0,—,—,—,демо-страница одна на тринадцать товаров,не сделано: выбор открытого документа по каждому комплекту — за владельцем
В-8,29,Решение,Четыре хаба кластеров — решение владельца (раздел 5.3),—,—,0,0,—,—,—,"первый шаг к архитектуре из 24 страниц, меняет структуру адресов",в очереди
